FIPStxt,State,Area_name,Civilian labor force,Employed,Unemployed,Unemployment rate,Median Household Income,sales tax,property tax,vehicle tax,violent crime,avg house value,education ranking
1000,AL,Alabama,"2,173,175","2,045,624","127,551",5.9,"$46,309 ",13.50,7.24,0.68,740.25,103,47
2000,AK,Alaska,"363,047","337,947","25,100",6.9,"$76,144 ",7.00,4.94,0,1203.29,158,40
4000,AZ,Arizona,"3,225,703","3,052,788","172,915",5.4,"$53,481 ",10.73,8.21,1.68,259.47,98,43
5000,AR,Arkansas,"1,342,561","1,289,549","53,012",3.9,"$44,406 ",11.63,8.99,1,354.56,,42
6000,CA,California,"19,093,658","18,048,827","1,044,831",5.5,"$67,715 ",10.25,9.57,0.65,608.39,310,26
8000,Co,Colorado,"2,893,268","2,798,928","94,340",3.3,"$65,718 ",10.00,8.1,1.79,948.74,246,20
9000,CT,Connecticut,"1,904,556","1,806,575","97,981",5.1,"$73,380 ",6.35,10.19,2.54,744.06,145,14
10000,DE,Delaware,"473,881","452,434","21,447",4.5,"$62,112 ",0.00,5.68,0,935.72,167,32
11000,DC,District of Columbia,"394,586","370,521","24,065",6.1,"$74,093 ",5.75,6.64,0,246.37,116,
12000,FL,Florida,"9,846,000","9,373,059","472,941",4.8,"$50,857 ",7.50,8.09,0,279.16,163,7
13000,GA,Georgia,"4,926,945","4,662,849","264,096",5.4,"$53,468 ",8.00,11.57,0,1333.96,147,31
15000,HI,Hawaii,"684,167","664,032","20,135",2.9,"$74,659 ",4.71,7.87,0,670.11,102,29
16000,ID,Idaho,"812,856","782,279","30,577",3.8,"$51,647 ",8.50,10.08,0,1022.29,125,30
17000,IL,Illinois,"6,549,991","6,169,560","380,431",5.8,"$60,977 ",10.25,8.67,0,647.03,113,24
18000,IN,Indiana,"3,327,139","3,180,104","147,035",4.4,"$52,289 ",7.00,9.32,1.25,1121.41,113,35
19000,IA,Iowa,"1,696,113","1,634,964","61,149",3.6,"$56,354 ",7.00,8.54,1,2027.01,121,5
20000,KS,Kansas,"1,485,336","1,425,413","59,923",4,"$54,828 ",10.16,8.79,2.06,668.2,115,21
21000,KY,Kentucky,"2,012,279","1,909,158","103,121",5.1,"$46,610 ",6.00,8.43,1.22,2056.67,116,34
22000,LA,Louisiana,"2,125,934","1,997,358","128,576",6,"$45,374 ",12.00,11.02,0.1,1101.27,181,49
23000,ME,Maine,"692,154","665,911","26,243",3.8,"$52,926 ",5.50,9.45,2.4,650.81,126,19
24000,MD,Maryland,"3,178,646","3,037,763","140,883",4.4,"$78,787 ",6.00,9.03,0,1724.31,177,11
25000,MA,Massachusetts,"3,611,418","3,471,112","140,306",3.9,"$75,207 ",6.26,8.53,2.25,647.32,91,1
26000,MI,Michigan,"4,840,281","4,599,266","241,015",5,"$52,436 ",6.00,10.37,0.59,185.11,115,36
27000,MN,Minnesota,"3,036,278","2,919,097","117,181",3.9,"$65,583 ",7.88,9.32,1.2,618.9,199,13
28000,MS,Mississippi,"1,278,960","1,204,481","74,479",5.8,"$41,793 ",7.25,7.95,3.39,1014.69,199,46
29000,MO,Missouri,"3,079,559","2,939,309","140,250",4.6,"$51,713 ",10.85,7.64,2.5,896.45,136,25
30000,MT,Montana,"521,628","499,990","21,638",4.1,"$50,265 ",0.00,9.17,1.28,1369.14,174,22
31000,NE,Nebraska,"1,008,715","977,622","31,093",3.1,"$56,979 ",7.50,8.21,1.6,1019.25,182,9
32000,NV,Nevada,"1,430,344","1,348,265","82,079",5.7,"$55,201 ",8.25,7.07,1.76,,130,44
33000,NH,New Hampshire,"746,452","725,154","21,298",2.9,"$70,986 ",0.00,10.02,1.8,1556.76,198,4
34000,NJ,New Jersey,"4,530,784","4,305,516","225,268",5,"$76,212 ",12.88,8.94,0,1040.83,130,2
35000,NM,New Mexico,"928,732","866,704","62,028",6.7,"$46,844 ",8.69,13.04,0,515.7,145,50
36000,NY,New York,"9,668,687","9,200,266","468,421",4.8,"$62,700 ",8.88,8.32,0,947.58,103,23
37000,NC,North Carolina,"4,854,828","4,608,229","246,599",5.1,"$50,595 ",7.50,8.69,1.25,2003.32,103,16
38000,ND,North Dakota,"414,431","401,671","12,760",3.1,"$61,898 ",8.00,9.48,0,548,212,10
39000,OH,Ohio,"5,739,296","5,451,315","287,981",5,"$52,357 ",8.00,7.17,0,418.96,127,41
40000,OK,Oklahoma,"1,829,413","1,741,277","88,136",4.8,"$49,204 ",11.00,8.38,0,435,128,39
41000,OR,Oregon,"2,049,480","1,951,218","98,262",4.8,"$57,379 ",0.00,8.66,0,1002,163,33
42000,PA,Pennsylvania,"6,452,812","6,105,223","347,589",5.4,"$56,897 ",8.00,10.14,0,894,130,38
44000,RI,Rhode Island,"553,555","524,745","28,810",5.2,"$60,046 ",11.60,7.88,4.77,325,126,27
45000,SC,South Carolina,"2,293,666","2,179,521","114,145",5,"$49,587 ",7.00,7.22,2.71,3020,183,48
46000,SD,South Dakota,"451,934","438,377","13,557",3,"$54,926 ",9.00,6.47,0,988,153,17
47000,TN,Tennessee,"3,134,725","2,987,074","147,651",4.7,"$48,506 ",6.00,8.15,0,1230,225,28
48000,TX,Texas,"13,317,176","12,702,122","615,054",4.6,"$56,583 ",9.75,8.36,0,840,94,37
49000,UT,Utah,"1,511,279","1,459,309","51,970",3.4,"$65,931 ",8.25,10.94,0,149.79,120,3
50000,VT,Vermont,"344,572","333,399","11,173",3.2,"$57,661 ",8.35,7.77,0,560,135,8
51000,VA,Virginia,"4,242,650","4,069,139","173,511",4.1,"$68,127 ",7.00,8.15,4.05,456,166,12
53000,WA,Washington,"3,635,200","3,444,126","191,074",5.3,"$67,064 ",6.00,8.36,0,734,98,6
54000,WV,West Virginia,"781,600","733,980","47,620",6.1,"$43,175 ",10.40,10.94,1.6,356,225,45
55000,WI,Wisconsin,"3,130,520","3,005,478","125,042",4,"$56,808 ",7.00,7.77,0,645,94,18
56000,WY,Wyoming,"300,922","285,052","15,870",5.3,"$61,686 ",6.75,8.15,1.8,877,135,15
72000,PR,Puerto Rico,"1,117,909","986,142","131,767",11.8,,6.00,9.4,2,203,166,
